Shipment_ID,Date,Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred,Vulnerability_Score,Weather_Enc,Mode_Enc,Predicted_Daily_Demand,Demand_Volatility,Safety_Stock_MT,Carrying_Cost,Revenue_at_Risk
SC-10179,2024-01-01,Shanghai,Los Angeles,Rail,Electronics,2494.05,456.7,3.6,0.8,Hurricane,0.592,14.44,1,1.6400000000000001,2,1,456.7,24.6252052,4147.43,186634.24,274020.0
SC-10558,2024-01-01,Hamburg,Antwerp,Sea,Pharmaceuticals,11449.49,138.27,2.22,9.2,Storm,0.551,69.65,1,7.106,4,3,297.485,225.1640123332323,4111.19,185003.49,82962.0
SC-13654,2024-01-01,Rotterdam,Dubai,Air,Perishables,941.72,186.36,3.15,7.9,Fog,0.757,0.5,0,6.4750000000000005,1,0,260.4433333333333,171.65567696214805,513.38,23102.14,0.0
SC-14195,2024-01-01,Los Angeles,Antwerp,Road,Perishables,3206.28,47.55,1.43,9.8,Hurricane,0.716,23.29,1,7.289000000000001,2,2,207.22,175.99623234603632,2345.29,105537.93,28530.0
SC-13958,2024-01-02,Dubai,Los Angeles,Sea,Textiles,1234.03,304.99,3.33,3.9,Fog,0.828,3.52,1,3.729,1,3,226.77399999999997,158.56481302609353,2115.7,95206.7,182994.0
SC-12025,2024-01-02,Rotterdam,Antwerp,Rail,Pharmaceuticals,4272.29,247.18,1.4,3.2,Fog,0.548,4.41,0,2.6599999999999997,1,1,230.17499999999998,142.06914073788155,645.65,29054.08,0.0
SC-10521,2024-01-02,Hamburg,Antwerp,Air,Textiles,6022.92,289.1,3.44,9.9,Fog,0.885,0.52,1,7.962,1,0,238.59285714285716,131.58922014034,2170.88,97689.76,173460.0
SC-13683,2024-01-02,Dubai,Singapore,Sea,Electronics,3935.53,303.5,2.89,0.9,Fog,0.666,8.95,1,1.4969999999999999,1,3,216.70714285714286,97.6248407108023,2024.8,91115.95,182100.0
SC-11082,2024-01-02,Dubai,Rotterdam,Air,Electronics,6554.92,189.3,2.46,2.4,Rain,0.653,0.5,1,2.418,3,0,223.99714285714285,92.56566546948996,2035.64,91603.84,113580.0
SC-14283,2024-01-02,Rotterdam,Hamburg,Sea,Electronics,1349.2,44.98,3.4,6.4,Storm,0.531,7.99,1,5.5,4,3,203.8,114.88075368253233,1925.53,86649.0,26988.0
SC-14245,2024-01-02,Hamburg,Singapore,Sea,Textiles,14053.58,457.53,1.52,10.0,Rain,0.764,34.53,1,7.4559999999999995,3,3,262.36857142857144,125.92221996515302,2675.77,120409.81,274518.0
SC-11146,2024-01-03,Antwerp,Dubai,Sea,Textiles,12062.68,256.62,2.75,7.9,Rain,0.697,27.57,1,6.355,3,3,255.45857142857145,124.51282135166797,2556.98,115063.96,153972.0
SC-11456,2024-01-03,Antwerp,Marseille,Air,Automotive,10498.14,308.1,2.6,6.7,Clear,0.567,1.5,1,5.47,0,0,264.1614285714286,125.95836831119658,2410.74,108483.33,184860.0
SC-14888,2024-01-03,Rotterdam,Antwerp,Air,Textiles,867.55,92.84,4.32,5.8,Hurricane,0.984,0.87,1,5.356,2,0,236.1242857142857,140.48700602512946,2153.71,96916.87,55704.0
SC-13619,2024-01-03,Rotterdam,Antwerp,Rail,Electronics,3039.29,81.39,1.31,2.2,Rain,0.905,3.21,0,1.933,3,1,204.3942857142857,147.63426384787766,572.8,25776.08,0.0
SC-10302,2024-01-03,Los Angeles,Busan,Air,Automotive,8339.21,381.18,1.62,2.3,Rain,0.827,1.06,1,2.096,3,0,231.8057142857143,161.52445716331866,2121.46,95465.57,228708.0
SC-13892,2024-01-03,Busan,Singapore,Rail,Pharmaceuticals,10322.85,490.25,2.16,5.0,Clear,0.834,9.29,1,4.148,0,1,295.4157142857143,163.3538481188555,2803.95,126177.6,294150.0
SC-10978,2024-01-03,Shanghai,Marseille,Road,Pharmaceuticals,7697.31,269.25,2.71,1.8,Rain,0.643,6.94,0,2.073,3,2,268.5185714285714,146.88220171604314,803.21,36144.57,0.0
SC-10162,2024-01-04,Antwerp,Marseille,Road,Perishables,9686.18,163.76,2.77,4.5,Fog,0.837,9.89,0,3.981,1,2,255.25285714285718,152.2318490235958,915.76,41209.25,0.0
SC-12812,2024-01-04,Antwerp,Los Angeles,Air,Automotive,10165.71,52.59,2.18,0.6,Clear,0.547,0.65,0,1.074,0,0,218.75142857142856,167.33207915485218,455.18,20482.93,0.0
SC-12772,2024-01-04,Singapore,Dubai,Sea,Pharmaceuticals,12201.0,125.22,1.79,2.9,Clear,0.959,20.38,1,2.5669999999999997,0,3,223.37714285714287,163.67895809727506,2365.54,106449.52,75132.0
SC-10420,2024-01-04,Antwerp,Hamburg,Road,Textiles,11977.9,96.94,1.82,3.2,Storm,0.703,24.61,0,2.7859999999999996,4,2,225.59857142857143,161.52206613221318,1384.08,62283.41,0.0
SC-14353,2024-01-04,Los Angeles,Hamburg,Rail,Textiles,14390.21,101.63,2.36,4.0,Fog,0.579,17.88,0,3.508,1,1,185.66285714285712,150.85029220105227,1105.11,49729.96,0.0
SC-14745,2024-01-05,Shanghai,Marseille,Rail,Textiles,1280.54,344.29,2.63,7.0,Hurricane,0.805,9.67,1,5.688999999999999,2,1,164.81142857142854,104.78599801954633,1589.36,71521.39,206574.0
SC-14774,2024-01-05,Dubai,Shanghai,Air,Textiles,5391.29,397.12,3.96,7.1,Hurricane,0.522,2.89,1,6.1579999999999995,2,0,183.07857142857142,133.29457971332658,1702.99,76634.5,238272.0
SC-14763,2024-01-05,Singapore,Hamburg,Road,Automotive,4104.77,473.79,2.54,2.9,Hurricane,0.707,22.31,1,2.792,2,2,227.3685714285714,171.76212654216215,2459.56,110680.15,284274.0
SC-13420,2024-01-05,Hamburg,Antwerp,Rail,Electronics,11583.12,286.34,4.28,5.7,Rain,0.708,12.5,0,5.274,3,1,260.76142857142855,153.91440732092755,1014.98,45674.09,0.0
SC-10609,2024-01-06,Antwerp,Los Angeles,Rail,Electronics,10510.73,230.19,4.07,5.5,Storm,0.823,28.33,0,5.071,4,1,275.75714285714287,143.2520517263524,1353.98,60929.13,0.0
SC-13181,2024-01-06,Shanghai,Antwerp,Sea,Textiles,4693.22,77.32,1.35,1.1,Rain,0.708,8.29,0,1.175,3,3,272.9542857142857,147.46391590907285,858.03,38611.5,0.0
SC-11991,2024-01-06,Shanghai,Antwerp,Rail,Pharmaceuticals,2804.17,121.12,1.71,4.7,Clear,0.691,1.75,1,3.803,0,1,275.73857142857145,143.8291884410778,2521.94,113487.49,72672.0
SC-12603,2024-01-06,Shanghai,Rotterdam,Rail,Automotive,5105.01,452.11,2.48,5.1,Hurricane,0.89,34.45,1,4.313999999999999,2,1,291.1414285714286,157.51606218928617,3050.87,137289.04,271266.0
SC-13245,2024-01-07,Los Angeles,Dubai,Sea,Textiles,2989.56,335.04,3.42,6.6,Hurricane,0.952,44.04,1,5.645999999999999,2,3,282.27285714285716,152.21307715548912,3056.12,137525.22,201024.0
SC-13015,2024-01-07,Dubai,Singapore,Sea,Automotive,5343.72,386.35,3.31,8.8,Storm,0.626,32.33,1,7.1530000000000005,4,3,269.7814285714286,136.67108343617923,2763.71,124367.04,231810.0
SC-13948,2024-01-07,Rotterdam,Los Angeles,Road,Electronics,2863.78,123.63,2.96,5.8,Fog,0.849,3.44,1,4.9479999999999995,1,2,246.5371428571429,146.8433895588864,2282.01,102690.43,74178.0
SC-12678,2024-01-07,Busan,Los Angeles,Rail,Perishables,2116.93,37.71,3.66,6.3,Hurricane,0.837,15.72,1,5.507999999999999,2,1,219.04000000000002,167.04629238627237,2268.38,102077.1,22626.0
SC-13037,2024-01-07,Singapore,Hamburg,Road,Perishables,14715.35,427.7,2.67,7.0,Hurricane,0.787,93.9,1,5.701,2,2,269.0942857142857,169.97215427407937,3653.65,164414.32,256620.0
SC-10031,2024-01-07,Singapore,Marseille,Air,Automotive,2972.6,266.7,4.45,9.5,Fog,0.556,1.04,1,7.984999999999999,1,0,289.89142857142855,157.28153880102732,2644.04,118981.95,160020.0
SC-10682,2024-01-07,Busan,Singapore,Rail,Automotive,2977.87,457.5,2.02,0.0,Storm,0.739,6.06,0,0.606,4,1,290.6614285714286,158.21847378741543,831.45,37415.39,0.0
SC-11614,2024-01-07,Antwerp,Shanghai,Sea,Perishables,5328.53,51.82,1.28,5.7,Hurricane,0.897,76.95,1,4.374,2,3,250.20142857142855,179.72905621412207,3452.94,155382.26,31092.0
